,Unnamed: 0,photo_id,category
411,411,validation\Dairy product\17.jpg,Dairy product
436,436,validation\Dairy product\4.jpg,Dairy product
449,449,validation\Dairy product\51.jpg,Dairy product
476,476,validation\Dairy product\76.jpg,Dairy product
460,460,validation\Dairy product\61.jpg,Dairy product
483,483,validation\Dairy product\82.jpg,Dairy product
407,407,validation\Dairy product\142.jpg,Dairy product
371,371,validation\Dairy product\11.jpg,Dairy product
440,440,validation\Dairy product\43.jpg,Dairy product
498,498,validation\Dairy product\96.jpg,Dairy product
454,454,validation\Dairy product\56.jpg,Dairy product
372,372,validation\Dairy product\110.jpg,Dairy product
415,415,validation\Dairy product\20.jpg,Dairy product
501,501,validation\Dairy product\99.jpg,Dairy product
416,416,validation\Dairy product\21.jpg,Dairy product
481,481,validation\Dairy product\80.jpg,Dairy product
425,425,validation\Dairy product\3.jpg,Dairy product
495,495,validation\Dairy product\93.jpg,Dairy product
491,491,validation\Dairy product\9.jpg,Dairy product
500,500,validation\Dairy product\98.jpg,Dairy product
406,406,validation\Dairy product\141.jpg,Dairy product
461,461,validation\Dairy product\62.jpg,Dairy product
364,364,validation\Dairy product\103.jpg,Dairy product
396,396,validation\Dairy product\132.jpg,Dairy product
477,477,validation\Dairy product\77.jpg,Dairy product
549,549,validation\Dessert\140.jpg,Dessert
524,524,validation\Dessert\118.jpg,Dessert
751,751,validation\Dessert\322.jpg,Dessert
761,761,validation\Dessert\331.jpg,Dessert
537,537,validation\Dessert\13.jpg,Dessert
626,626,validation\Dessert\21.jpg,Dessert
966,966,validation\Dessert\67.jpg,Dessert
930,930,validation\Dessert\484.jpg,Dessert
627,627,validation\Dessert\210.jpg,Dessert
783,783,validation\Dessert\351.jpg,Dessert
978,978,validation\Dessert\78.jpg,Dessert
914,914,validation\Dessert\47.jpg,Dessert
705,705,validation\Dessert\281.jpg,Dessert
734,734,validation\Dessert\307.jpg,Dessert
884,884,validation\Dessert\442.jpg,Dessert
757,757,validation\Dessert\328.jpg,Dessert
977,977,validation\Dessert\77.jpg,Dessert
969,969,validation\Dessert\7.jpg,Dessert
844,844,validation\Dessert\406.jpg,Dessert
732,732,validation\Dessert\305.jpg,Dessert
660,660,validation\Dessert\240.jpg,Dessert
971,971,validation\Dessert\71.jpg,Dessert
957,957,validation\Dessert\59.jpg,Dessert
612,612,validation\Dessert\198.jpg,Dessert
565,565,validation\Dessert\155.jpg,Dessert
875,875,validation\Dessert\434.jpg,Dessert
544,544,validation\Dessert\136.jpg,Dessert
963,963,validation\Dessert\64.jpg,Dessert
530,530,validation\Dessert\123.jpg,Dessert
838,838,validation\Dessert\400.jpg,Dessert
613,613,validation\Dessert\199.jpg,Dessert
999,999,validation\Dessert\97.jpg,Dessert
993,993,validation\Dessert\91.jpg,Dessert
748,748,validation\Dessert\32.jpg,Dessert
788,788,validation\Dessert\356.jpg,Dessert
700,700,validation\Dessert\277.jpg,Dessert
566,566,validation\Dessert\156.jpg,Dessert
950,950,validation\Dessert\52.jpg,Dessert
867,867,validation\Dessert\427.jpg,Dessert
910,910,validation\Dessert\466.jpg,Dessert
741,741,validation\Dessert\313.jpg,Dessert
522,522,validation\Dessert\116.jpg,Dessert
939,939,validation\Dessert\492.jpg,Dessert
848,848,validation\Dessert\41.jpg,Dessert
739,739,validation\Dessert\311.jpg,Dessert
653,653,validation\Dessert\234.jpg,Dessert
596,596,validation\Dessert\183.jpg,Dessert
862,862,validation\Dessert\422.jpg,Dessert
644,644,validation\Dessert\226.jpg,Dessert
682,682,validation\Dessert\260.jpg,Dessert
1179,1179,validation\Egg\258.jpg,Egg
1018,1018,validation\Egg\112.jpg,Egg
1118,1118,validation\Egg\202.jpg,Egg
1220,1220,validation\Egg\295.jpg,Egg
1219,1219,validation\Egg\294.jpg,Egg
1007,1007,validation\Egg\102.jpg,Egg
1181,1181,validation\Egg\26.jpg,Egg
1119,1119,validation\Egg\203.jpg,Egg
1165,1165,validation\Egg\245.jpg,Egg
1099,1099,validation\Egg\186.jpg,Egg
1088,1088,validation\Egg\176.jpg,Egg
1201,1201,validation\Egg\278.jpg,Egg
1137,1137,validation\Egg\22.jpg,Egg
1293,1293,validation\Egg\67.jpg,Egg
1261,1261,validation\Egg\38.jpg,Egg
1185,1185,validation\Egg\263.jpg,Egg
1300,1300,validation\Egg\73.jpg,Egg
1269,1269,validation\Egg\45.jpg,Egg
1035,1035,validation\Egg\128.jpg,Egg
1066,1066,validation\Egg\156.jpg,Egg
1288,1288,validation\Egg\62.jpg,Egg
1043,1043,validation\Egg\135.jpg,Egg
1090,1090,validation\Egg\178.jpg,Egg
1174,1174,validation\Egg\253.jpg,Egg
1225,1225,validation\Egg\3.jpg,Egg
1123,1123,validation\Egg\207.jpg,Egg
1281,1281,validation\Egg\56.jpg,Egg
1195,1195,validation\Egg\272.jpg,Egg
1114,1114,validation\Egg\2.jpg,Egg
1036,1036,validation\Egg\129.jpg,Egg
1259,1259,validation\Egg\36.jpg,Egg
1145,1145,validation\Egg\227.jpg,Egg
1320,1320,validation\Egg\91.jpg,Egg
1271,1271,validation\Egg\47.jpg,Egg
1039,1039,validation\Egg\131.jpg,Egg
1163,1163,validation\Egg\243.jpg,Egg
1132,1132,validation\Egg\215.jpg,Egg
1311,1311,validation\Egg\83.jpg,Egg
1084,1084,validation\Egg\172.jpg,Egg
1167,1167,validation\Egg\247.jpg,Egg
1096,1096,validation\Egg\183.jpg,Egg
1285,1285,validation\Egg\6.jpg,Egg
1263,1263,validation\Egg\4.jpg,Egg
1283,1283,validation\Egg\58.jpg,Egg
1231,1231,validation\Egg\304.jpg,Egg
1098,1098,validation\Egg\185.jpg,Egg
1226,1226,validation\Egg\30.jpg,Egg
1133,1133,validation\Egg\216.jpg,Egg
1033,1033,validation\Egg\126.jpg,Egg
1265,1265,validation\Egg\41.jpg,Egg
1477,1477,validation\Fried food\231.jpg,Fried food
1386,1386,validation\Fried food\15.jpg,Fried food
1352,1352,validation\Fried food\119.jpg,Fried food
1643,1643,validation\Fried food\89.jpg,Fried food
1440,1440,validation\Fried food\199.jpg,Fried food
1436,1436,validation\Fried food\195.jpg,Fried food
1442,1442,validation\Fried food\20.jpg,Fried food
1610,1610,validation\Fried food\59.jpg,Fried food
1601,1601,validation\Fried food\50.jpg,Fried food
1504,1504,validation\Fried food\256.jpg,Fried food
1621,1621,validation\Fried food\69.jpg,Fried food
1540,1540,validation\Fried food\289.jpg,Fried food
1497,1497,validation\Fried food\25.jpg,Fried food
1389,1389,validation\Fried food\152.jpg,Fried food
1456,1456,validation\Fried food\212.jpg,Fried food
1423,1423,validation\Fried food\183.jpg,Fried food
1637,1637,validation\Fried food\83.jpg,Fried food
1536,1536,validation\Fried food\285.jpg,Fried food
1394,1394,validation\Fried food\157.jpg,Fried food
1654,1654,validation\Fried food\99.jpg,Fried food
1604,1604,validation\Fried food\53.jpg,Fried food
1564,1564,validation\Fried food\31.jpg,Fried food
1627,1627,validation\Fried food\74.jpg,Fried food
1573,1573,validation\Fried food\318.jpg,Fried food
1551,1551,validation\Fried food\299.jpg,Fried food
1458,1458,validation\Fried food\214.jpg,Fried food
1335,1335,validation\Fried food\103.jpg,Fried food
1367,1367,validation\Fried food\132.jpg,Fried food
1433,1433,validation\Fried food\192.jpg,Fried food
1503,1503,validation\Fried food\255.jpg,Fried food
1363,1363,validation\Fried food\129.jpg,Fried food
1515,1515,validation\Fried food\266.jpg,Fried food
1445,1445,validation\Fried food\202.jpg,Fried food
1635,1635,validation\Fried food\81.jpg,Fried food
1346,1346,validation\Fried food\113.jpg,Fried food
1618,1618,validation\Fried food\66.jpg,Fried food
1372,1372,validation\Fried food\137.jpg,Fried food
1398,1398,validation\Fried food\160.jpg,Fried food
1622,1622,validation\Fried food\7.jpg,Fried food
1582,1582,validation\Fried food\33.jpg,Fried food
1393,1393,validation\Fried food\156.jpg,Fried food
1340,1340,validation\Fried food\108.jpg,Fried food
1498,1498,validation\Fried food\250.jpg,Fried food
1586,1586,validation\Fried food\37.jpg,Fried food
1376,1376,validation\Fried food\140.jpg,Fried food
1641,1641,validation\Fried food\87.jpg,Fried food
1510,1510,validation\Fried food\261.jpg,Fried food
1500,1500,validation\Fried food\252.jpg,Fried food
1452,1452,validation\Fried food\209.jpg,Fried food
1614,1614,validation\Fried food\62.jpg,Fried food
1803,1803,validation\Meat\231.jpg,Meat
1981,1981,validation\Meat\392.jpg,Meat
1664,1664,validation\Meat\106.jpg,Meat
1948,1948,validation\Meat\362.jpg,Meat
1781,1781,validation\Meat\211.jpg,Meat
1825,1825,validation\Meat\251.jpg,Meat
1905,1905,validation\Meat\323.jpg,Meat
1833,1833,validation\Meat\259.jpg,Meat
1674,1674,validation\Meat\115.jpg,Meat
1796,1796,validation\Meat\225.jpg,Meat
2062,2062,validation\Meat\61.jpg,Meat
1888,1888,validation\Meat\308.jpg,Meat
1818,1818,validation\Meat\245.jpg,Meat
1886,1886,validation\Meat\306.jpg,Meat
1963,1963,validation\Meat\376.jpg,Meat
1844,1844,validation\Meat\269.jpg,Meat
2082,2082,validation\Meat\8.jpg,Meat
2054,2054,validation\Meat\54.jpg,Meat
1822,1822,validation\Meat\249.jpg,Meat
1939,1939,validation\Meat\354.jpg,Meat
1764,1764,validation\Meat\197.jpg,Meat
1983,1983,validation\Meat\394.jpg,Meat
1671,1671,validation\Meat\112.jpg,Meat
1768,1768,validation\Meat\20.jpg,Meat
1823,1823,validation\Meat\25.jpg,Meat
2066,2066,validation\Meat\65.jpg,Meat
2068,2068,validation\Meat\67.jpg,Meat
2087,2087,validation\Meat\84.jpg,Meat
2001,2001,validation\Meat\41.jpg,Meat
2033,2033,validation\Meat\439.jpg,Meat
2052,2052,validation\Meat\52.jpg,Meat
1712,1712,validation\Meat\15.jpg,Meat
1882,1882,validation\Meat\302.jpg,Meat
1853,1853,validation\Meat\277.jpg,Meat
1714,1714,validation\Meat\151.jpg,Meat
1842,1842,validation\Meat\267.jpg,Meat
2103,2103,validation\Meat\99.jpg,Meat
1917,1917,validation\Meat\334.jpg,Meat
1935,1935,validation\Meat\350.jpg,Meat
1975,1975,validation\Meat\387.jpg,Meat
1749,1749,validation\Meat\183.jpg,Meat
2097,2097,validation\Meat\93.jpg,Meat
1942,1942,validation\Meat\357.jpg,Meat
1927,1927,validation\Meat\343.jpg,Meat
1947,1947,validation\Meat\361.jpg,Meat
2045,2045,validation\Meat\46.jpg,Meat
1807,1807,validation\Meat\235.jpg,Meat
1965,1965,validation\Meat\378.jpg,Meat
1699,1699,validation\Meat\138.jpg,Meat
1673,1673,validation\Meat\114.jpg,Meat
2160,2160,validation\Noodles-Pasta\17.jpg,Noodles-Pasta
2237,2237,validation\Noodles-Pasta\87.jpg,Noodles-Pasta
2219,2219,validation\Noodles-Pasta\70.jpg,Noodles-Pasta
2218,2218,validation\Noodles-Pasta\7.jpg,Noodles-Pasta
2197,2197,validation\Noodles-Pasta\50.jpg,Noodles-Pasta
2194,2194,validation\Noodles-Pasta\48.jpg,Noodles-Pasta
2175,2175,validation\Noodles-Pasta\30.jpg,Noodles-Pasta
2211,2211,validation\Noodles-Pasta\63.jpg,Noodles-Pasta
2109,2109,validation\Noodles-Pasta\102.jpg,Noodles-Pasta
2136,2136,validation\Noodles-Pasta\127.jpg,Noodles-Pasta
2131,2131,validation\Noodles-Pasta\122.jpg,Noodles-Pasta
2120,2120,validation\Noodles-Pasta\112.jpg,Noodles-Pasta
2210,2210,validation\Noodles-Pasta\62.jpg,Noodles-Pasta
2126,2126,validation\Noodles-Pasta\118.jpg,Noodles-Pasta
2124,2124,validation\Noodles-Pasta\116.jpg,Noodles-Pasta
2201,2201,validation\Noodles-Pasta\54.jpg,Noodles-Pasta
2178,2178,validation\Noodles-Pasta\33.jpg,Noodles-Pasta
2179,2179,validation\Noodles-Pasta\34.jpg,Noodles-Pasta
2214,2214,validation\Noodles-Pasta\66.jpg,Noodles-Pasta
2209,2209,validation\Noodles-Pasta\61.jpg,Noodles-Pasta
2189,2189,validation\Noodles-Pasta\43.jpg,Noodles-Pasta
2128,2128,validation\Noodles-Pasta\12.jpg,Noodles-Pasta
2167,2167,validation\Noodles-Pasta\23.jpg,Noodles-Pasta
2243,2243,validation\Noodles-Pasta\92.jpg,Noodles-Pasta
2208,2208,validation\Noodles-Pasta\60.jpg,Noodles-Pasta
2215,2215,validation\Noodles-Pasta\67.jpg,Noodles-Pasta
2149,2149,validation\Noodles-Pasta\139.jpg,Noodles-Pasta
2135,2135,validation\Noodles-Pasta\126.jpg,Noodles-Pasta
2177,2177,validation\Noodles-Pasta\32.jpg,Noodles-Pasta
2245,2245,validation\Noodles-Pasta\94.jpg,Noodles-Pasta
2240,2240,validation\Noodles-Pasta\9.jpg,Noodles-Pasta
2174,2174,validation\Noodles-Pasta\3.jpg,Noodles-Pasta
2107,2107,validation\Noodles-Pasta\100.jpg,Noodles-Pasta
2246,2246,validation\Noodles-Pasta\95.jpg,Noodles-Pasta
2168,2168,validation\Noodles-Pasta\24.jpg,Noodles-Pasta
2173,2173,validation\Noodles-Pasta\29.jpg,Noodles-Pasta
2223,2223,validation\Noodles-Pasta\74.jpg,Noodles-Pasta
2239,2239,validation\Noodles-Pasta\89.jpg,Noodles-Pasta
2227,2227,validation\Noodles-Pasta\78.jpg,Noodles-Pasta
2232,2232,validation\Noodles-Pasta\82.jpg,Noodles-Pasta
2153,2153,validation\Noodles-Pasta\142.jpg,Noodles-Pasta
2144,2144,validation\Noodles-Pasta\134.jpg,Noodles-Pasta
2225,2225,validation\Noodles-Pasta\76.jpg,Noodles-Pasta
2143,2143,validation\Noodles-Pasta\133.jpg,Noodles-Pasta
2241,2241,validation\Noodles-Pasta\90.jpg,Noodles-Pasta
2202,2202,validation\Noodles-Pasta\55.jpg,Noodles-Pasta
2200,2200,validation\Noodles-Pasta\53.jpg,Noodles-Pasta
2188,2188,validation\Noodles-Pasta\42.jpg,Noodles-Pasta
2192,2192,validation\Noodles-Pasta\46.jpg,Noodles-Pasta
2213,2213,validation\Noodles-Pasta\65.jpg,Noodles-Pasta
2262,2262,validation\Rice\19.jpg,Rice
2330,2330,validation\Rice\80.jpg,Rice
2263,2263,validation\Rice\2.jpg,Rice
2286,2286,validation\Rice\40.jpg,Rice
2308,2308,validation\Rice\60.jpg,Rice
2325,2325,validation\Rice\76.jpg,Rice
2261,2261,validation\Rice\18.jpg,Rice
2318,2318,validation\Rice\7.jpg,Rice
2342,2342,validation\Rice\91.jpg,Rice
2323,2323,validation\Rice\74.jpg,Rice
2332,2332,validation\Rice\82.jpg,Rice
2328,2328,validation\Rice\79.jpg,Rice
2296,2296,validation\Rice\5.jpg,Rice
2288,2288,validation\Rice\42.jpg,Rice
2326,2326,validation\Rice\77.jpg,Rice
2310,2310,validation\Rice\62.jpg,Rice
2341,2341,validation\Rice\90.jpg,Rice
2336,2336,validation\Rice\86.jpg,Rice
2309,2309,validation\Rice\61.jpg,Rice
2267,2267,validation\Rice\23.jpg,Rice
2254,2254,validation\Rice\11.jpg,Rice
2264,2264,validation\Rice\20.jpg,Rice
2324,2324,validation\Rice\75.jpg,Rice
2346,2346,validation\Rice\95.jpg,Rice
2299,2299,validation\Rice\52.jpg,Rice
2343,2343,validation\Rice\92.jpg,Rice
2305,2305,validation\Rice\58.jpg,Rice
2280,2280,validation\Rice\35.jpg,Rice
2334,2334,validation\Rice\84.jpg,Rice
2290,2290,validation\Rice\44.jpg,Rice
2301,2301,validation\Rice\54.jpg,Rice
2315,2315,validation\Rice\67.jpg,Rice
2276,2276,validation\Rice\31.jpg,Rice
2278,2278,validation\Rice\33.jpg,Rice
2268,2268,validation\Rice\24.jpg,Rice
2251,2251,validation\Rice\0.jpg,Rice
2319,2319,validation\Rice\70.jpg,Rice
2275,2275,validation\Rice\30.jpg,Rice
2279,2279,validation\Rice\34.jpg,Rice
2322,2322,validation\Rice\73.jpg,Rice
2340,2340,validation\Rice\9.jpg,Rice
2321,2321,validation\Rice\72.jpg,Rice
2303,2303,validation\Rice\56.jpg,Rice
2304,2304,validation\Rice\57.jpg,Rice
2333,2333,validation\Rice\83.jpg,Rice
2252,2252,validation\Rice\1.jpg,Rice
2285,2285,validation\Rice\4.jpg,Rice
2295,2295,validation\Rice\49.jpg,Rice
2283,2283,validation\Rice\38.jpg,Rice
2297,2297,validation\Rice\50.jpg,Rice
2424,2424,validation\Seafood\168.jpg,Seafood
2389,2389,validation\Seafood\136.jpg,Seafood
2406,2406,validation\Seafood\151.jpg,Seafood
2388,2388,validation\Seafood\135.jpg,Seafood
2358,2358,validation\Seafood\108.jpg,Seafood
2355,2355,validation\Seafood\105.jpg,Seafood
2602,2602,validation\Seafood\328.jpg,Seafood
2562,2562,validation\Seafood\292.jpg,Seafood
2504,2504,validation\Seafood\24.jpg,Seafood
2493,2493,validation\Seafood\23.jpg,Seafood
2575,2575,validation\Seafood\303.jpg,Seafood
2523,2523,validation\Seafood\257.jpg,Seafood
2470,2470,validation\Seafood\209.jpg,Seafood
2502,2502,validation\Seafood\238.jpg,Seafood
2367,2367,validation\Seafood\116.jpg,Seafood
2411,2411,validation\Seafood\156.jpg,Seafood
2538,2538,validation\Seafood\270.jpg,Seafood
2403,2403,validation\Seafood\149.jpg,Seafood
2564,2564,validation\Seafood\294.jpg,Seafood
2560,2560,validation\Seafood\290.jpg,Seafood
2545,2545,validation\Seafood\277.jpg,Seafood
2419,2419,validation\Seafood\163.jpg,Seafood
2631,2631,validation\Seafood\42.jpg,Seafood
2495,2495,validation\Seafood\231.jpg,Seafood
2494,2494,validation\Seafood\230.jpg,Seafood
2399,2399,validation\Seafood\145.jpg,Seafood
2618,2618,validation\Seafood\342.jpg,Seafood
2634,2634,validation\Seafood\45.jpg,Seafood
2626,2626,validation\Seafood\38.jpg,Seafood
2551,2551,validation\Seafood\282.jpg,Seafood
2467,2467,validation\Seafood\206.jpg,Seafood
2398,2398,validation\Seafood\144.jpg,Seafood
2420,2420,validation\Seafood\164.jpg,Seafood
2462,2462,validation\Seafood\201.jpg,Seafood
2664,2664,validation\Seafood\72.jpg,Seafood
2396,2396,validation\Seafood\142.jpg,Seafood
2591,2591,validation\Seafood\318.jpg,Seafood
2361,2361,validation\Seafood\110.jpg,Seafood
2394,2394,validation\Seafood\140.jpg,Seafood
2553,2553,validation\Seafood\284.jpg,Seafood
2511,2511,validation\Seafood\246.jpg,Seafood
2550,2550,validation\Seafood\281.jpg,Seafood
2650,2650,validation\Seafood\6.jpg,Seafood
2466,2466,validation\Seafood\205.jpg,Seafood
2630,2630,validation\Seafood\41.jpg,Seafood
2349,2349,validation\Seafood\10.jpg,Seafood
2572,2572,validation\Seafood\300.jpg,Seafood
2660,2660,validation\Seafood\69.jpg,Seafood
2535,2535,validation\Seafood\268.jpg,Seafood
2468,2468,validation\Seafood\207.jpg,Seafood
3075,3075,validation\Soup\441.jpg,Soup
2777,2777,validation\Soup\173.jpg,Soup
2724,2724,validation\Soup\125.jpg,Soup
3054,3054,validation\Soup\422.jpg,Soup
2711,2711,validation\Soup\113.jpg,Soup
2734,2734,validation\Soup\134.jpg,Soup
2727,2727,validation\Soup\128.jpg,Soup
2847,2847,validation\Soup\236.jpg,Soup
2705,2705,validation\Soup\108.jpg,Soup
3043,3043,validation\Soup\412.jpg,Soup
3058,3058,validation\Soup\426.jpg,Soup
3130,3130,validation\Soup\491.jpg,Soup
2731,2731,validation\Soup\131.jpg,Soup
2738,2738,validation\Soup\138.jpg,Soup
2866,2866,validation\Soup\253.jpg,Soup
2721,2721,validation\Soup\122.jpg,Soup
2925,2925,validation\Soup\306.jpg,Soup
2860,2860,validation\Soup\248.jpg,Soup
3121,3121,validation\Soup\483.jpg,Soup
3107,3107,validation\Soup\470.jpg,Soup
2878,2878,validation\Soup\264.jpg,Soup
2718,2718,validation\Soup\12.jpg,Soup
2720,2720,validation\Soup\121.jpg,Soup
2865,2865,validation\Soup\252.jpg,Soup
2843,2843,validation\Soup\232.jpg,Soup
3076,3076,validation\Soup\442.jpg,Soup
2897,2897,validation\Soup\281.jpg,Soup
2805,2805,validation\Soup\199.jpg,Soup
3098,3098,validation\Soup\462.jpg,Soup
3045,3045,validation\Soup\414.jpg,Soup
3066,3066,validation\Soup\433.jpg,Soup
2787,2787,validation\Soup\182.jpg,Soup
2973,2973,validation\Soup\35.jpg,Soup
2855,2855,validation\Soup\243.jpg,Soup
3148,3148,validation\Soup\58.jpg,Soup
2695,2695,validation\Soup\1.jpg,Soup
2833,2833,validation\Soup\223.jpg,Soup
2744,2744,validation\Soup\143.jpg,Soup
2809,2809,validation\Soup\201.jpg,Soup
2759,2759,validation\Soup\157.jpg,Soup
2858,2858,validation\Soup\246.jpg,Soup
3035,3035,validation\Soup\405.jpg,Soup
2898,2898,validation\Soup\282.jpg,Soup
2920,2920,validation\Soup\301.jpg,Soup
2951,2951,validation\Soup\33.jpg,Soup
2780,2780,validation\Soup\176.jpg,Soup
3171,3171,validation\Soup\79.jpg,Soup
2889,2889,validation\Soup\274.jpg,Soup
3053,3053,validation\Soup\421.jpg,Soup
2943,2943,validation\Soup\322.jpg,Soup
3379,3379,validation\Vegetable-Fruit\57.jpg,Vegetable-Fruit
3253,3253,validation\Vegetable-Fruit\151.jpg,Vegetable-Fruit
3207,3207,validation\Vegetable-Fruit\11.jpg,Vegetable-Fruit
3399,3399,validation\Vegetable-Fruit\75.jpg,Vegetable-Fruit
3380,3380,validation\Vegetable-Fruit\58.jpg,Vegetable-Fruit
3215,3215,validation\Vegetable-Fruit\117.jpg,Vegetable-Fruit
3226,3226,validation\Vegetable-Fruit\127.jpg,Vegetable-Fruit
3279,3279,validation\Vegetable-Fruit\175.jpg,Vegetable-Fruit
3408,3408,validation\Vegetable-Fruit\83.jpg,Vegetable-Fruit
3331,3331,validation\Vegetable-Fruit\221.jpg,Vegetable-Fruit
3352,3352,validation\Vegetable-Fruit\32.jpg,Vegetable-Fruit
3266,3266,validation\Vegetable-Fruit\163.jpg,Vegetable-Fruit
3351,3351,validation\Vegetable-Fruit\31.jpg,Vegetable-Fruit
3367,3367,validation\Vegetable-Fruit\46.jpg,Vegetable-Fruit
3311,3311,validation\Vegetable-Fruit\203.jpg,Vegetable-Fruit
3339,3339,validation\Vegetable-Fruit\229.jpg,Vegetable-Fruit
3336,3336,validation\Vegetable-Fruit\226.jpg,Vegetable-Fruit
3285,3285,validation\Vegetable-Fruit\180.jpg,Vegetable-Fruit
3276,3276,validation\Vegetable-Fruit\172.jpg,Vegetable-Fruit
3377,3377,validation\Vegetable-Fruit\55.jpg,Vegetable-Fruit
3350,3350,validation\Vegetable-Fruit\30.jpg,Vegetable-Fruit
3273,3273,validation\Vegetable-Fruit\17.jpg,Vegetable-Fruit
3322,3322,validation\Vegetable-Fruit\213.jpg,Vegetable-Fruit
3206,3206,validation\Vegetable-Fruit\109.jpg,Vegetable-Fruit
3325,3325,validation\Vegetable-Fruit\216.jpg,Vegetable-Fruit
3267,3267,validation\Vegetable-Fruit\164.jpg,Vegetable-Fruit
3382,3382,validation\Vegetable-Fruit\6.jpg,Vegetable-Fruit
3256,3256,validation\Vegetable-Fruit\154.jpg,Vegetable-Fruit
3334,3334,validation\Vegetable-Fruit\224.jpg,Vegetable-Fruit
3375,3375,validation\Vegetable-Fruit\53.jpg,Vegetable-Fruit
3388,3388,validation\Vegetable-Fruit\65.jpg,Vegetable-Fruit
3304,3304,validation\Vegetable-Fruit\198.jpg,Vegetable-Fruit
3349,3349,validation\Vegetable-Fruit\3.jpg,Vegetable-Fruit
3395,3395,validation\Vegetable-Fruit\71.jpg,Vegetable-Fruit
3246,3246,validation\Vegetable-Fruit\145.jpg,Vegetable-Fruit
3202,3202,validation\Vegetable-Fruit\105.jpg,Vegetable-Fruit
3398,3398,validation\Vegetable-Fruit\74.jpg,Vegetable-Fruit
3423,3423,validation\Vegetable-Fruit\97.jpg,Vegetable-Fruit
3194,3194,validation\Vegetable-Fruit\0.jpg,Vegetable-Fruit
3221,3221,validation\Vegetable-Fruit\122.jpg,Vegetable-Fruit
3386,3386,validation\Vegetable-Fruit\63.jpg,Vegetable-Fruit
3245,3245,validation\Vegetable-Fruit\144.jpg,Vegetable-Fruit
3252,3252,validation\Vegetable-Fruit\150.jpg,Vegetable-Fruit
3366,3366,validation\Vegetable-Fruit\45.jpg,Vegetable-Fruit
3274,3274,validation\Vegetable-Fruit\170.jpg,Vegetable-Fruit
