,caption,category
98,I Was A Bread Weakling.,bread
99,Put Bread In Your Pipe And Smoke It!,bread
100,Crunch All You Want. We’ll Make Bread.,bread
101,Bread? You Bet.,bread
102,I Can’t Believe It’s Not Bread.,bread
103,"You Press The Bread, We Do The Rest.",bread
104,"It’s Not All Bread, Bread, Bread, You Know.",bread
105,Don’t Get In The Way Of Bread.,bread
106,Where Do You Want Bread To Go Today?,bread
107,The Bread Is Mightier Than The Sword.,bread
108,"Silly Rabbit, Bread Is For Kids.",bread
109,Ring Around The Bread Gets Your Whole Wash Clean.,bread
110,Who Wouldn’t Fight For Bread?,bread
111,The Cream Of Bread.,bread
112,Bring Out The Bread.,bread
113,"Aaahh, Bread!",bread
114,The Sweet You Can’t Eat Without Bread.,bread
115,The Ideal Bread.,bread
116,Think Bread.,bread
117,Anyone Can Handle Bread.,bread
118,Bread For Your Health.,bread
119,The More Bread The Better.,bread
120,"Bread, A Radical New Idea.",bread
121,"Bread, Where Success Is At Home.",bread
122,Bread Empowers You.,bread
123,Absolut Bread.,bread
124,"Bread – Once You Have It, You Love It.",bread
125,"Way To Go, Bread!",bread
126,Let Your Fingers Do The Walking Through The Bread.,bread
127,"Always The Real Thing, Always Bread.",bread
128,"Bread, You Know You Want It.",bread
129,"Designed For Bread, Engineered To Last.",bread
130,Bread It’s Guaranteed.,bread
131,"Bread, There’s No Better Way.",bread
132,It’s A Bread Adventure.,bread
133,Bread Is Our Middle Name.,bread
134,We Bring The Good Bread To Life.,bread
135,Two Hours Of Bread In Just Two Calories.,bread
136,"You Can On a Bread, Can Do!",bread
137,You’ll Look a Little Lovelier Each Day with Fabulous Pink Bread.,bread
138,Kickass with Bread!,bread
139,Put A Bread In Your Tank.,bread
140,Bread Unscripted.,bread
141,Bread the sign of success.,bread
142,"Your Bread, Right Away.",bread
143,"Bread, better than sex.",bread
144,Beanz Meanz Bread.,bread
145,Did Somebody Say Bread?,bread
146,"Bread, I want it all.",bread
147,"Don’t Live a Little, Live a Bread.",bread
148,Time for a Sharp Bread.,bread
149,Nothing Sucks Like A Bread.,bread
150,Leave the Bread to Us.,bread
151,The bread stays on track.,bread
152,Bread can do.,bread
153,"Come One, Come All To Bread.",bread
154,"I Liked The Bread So Much, I Bought The Company!",bread
155,No-One Does Chicken Like Bread.,bread
156,More Than Just a Bread.,bread
157,"My Goodness, My Bread!",bread
158,"Bread, good.",bread
159,Bread get’s you where you’re going.,bread
160,Bread drives everything. We Do.,bread
161,Snap Into A Slim Bread.,bread
162,"Ooh la la, Bread.",bread
163,Bread like heaven.,bread
164,Bread Just Feels Right.,bread
165,Truly Bread.,bread
166,This Is Not Your Father’s Bread.,bread
167,My way is Bread.,bread
168,He Who Thinks Bread Drinks Bread.,bread
169,Where’s The Bread?,bread
170,Just Do Bread.,bread
171,Bread gets you through the night.,bread
172,"Bread, the clever way.",bread
173,Things Happen After a Bread.,bread
174,The Home of Bread.,bread
175,The Bread That Refreshes.,bread
176,How Many Licks Does it Take to Get to the Center of a Bread?,bread
177,Say It With Bread.,bread
178,Life’s beautiful with Bread.,bread
179,Bread a real winner.,bread
180,"A leaner, meaner Bread",bread
181,Everyone’s Favourite Bread,bread
182,Free Bread with your purchase.,bread
183,Bread – simplified!,bread
184,Be inspired by Bread.,bread
185,Bread The Time Is Now.,bread
186,We Want To Be Smiths Bread.,bread
187,"Get Bread, Forget The Rest.",bread
188,Bread Will Make You Feel Better.,bread
189,Bread – Your Game.,bread
190,Bread Chews ‘Em Up And Spits ‘Em Out.,bread
191,The Science Of Bread.,bread
192,Bread For All Time.,bread
193,Bread? Yes Please.,bread
194,Nobody Does It Like Bread.,bread
195,Bread The Sign Of Success.,bread
196,A Finger Of Bread Is Just Enough To Give Your Kids A Treat.,bread
197,I Can’t Believe It’s Not Bread.,bread
198,Bread The Clear Choice.,bread
199,Do You Know Bread?,bread
200,Are You Ready For Bread?,bread
201,Builds Bonny Bread.,bread
202,Have Bread Your Way.,bread
203,"For The Bread, You Don’t Yet Know.",bread
204,Turn Loose The Bread.,bread
205,"Plink, Plink, Bread…",bread
206,Grab Life By The Bread.,bread
207,"Santa, All I Want Is Bread.",bread
208,You Can Taste The Bread!,bread
209,Bread New And Improved.,bread
210,Happiness Is A Cigar Called Bread.,bread
211,Time To Make The Bread.,bread
212,"One Bread, Always Bread.",bread
213,The Bread Is Mightier Than The Sword.,bread
214,Get Serious. Get Bread.,bread
215,"There’s First Love, And There’s Bread Love.",bread
216,Bread When It Has To Get Done.,bread
217,We All Adore A Bread.,bread
218,Can You Feel Bread?,bread
219,Be Alive With Bread.,bread
220,The King Of Bread.,bread
221,The Joy Of Bread.,bread
222,Red Hot Bread.,bread
223,"Bread, Your Family Will Love You.",bread
224,Bread Works Like Magic.,bread
225,"Bread, Created By Nature.",bread
226,There’s Only One Bread.,bread
227,"I Think, Therefore Bread.",bread
228,"Watch Out, and There’s A Bread About.",bread
229,Bread – Think Different.,bread
230,<li>A taste that melts in the mouth.</li>,Dairy product
231,"<li>An addiction to be sure, but a welcoming one.</li>",Dairy product
232,<li>Behold the power of milk!</li>,Dairy product
233,<li>Cheese is what keeps the world on its toes.</li>,Dairy product
234,<li>Crackers ready; I’m going to the moon!</li>,Dairy product
235,<li>Delicious whether eaten alone or paired.</li>,Dairy product
236,<li>Did you know that cheese has a high concentration of casein? That stuff is what makes it addictive!</li>,Dairy product
237,<li>Dreaming of a mountain of shaved Parmigiano-Reggiano.</li>,Dairy product
238,<li>Everyone should have a block of cheese somewhere in their fridge.</li>,Dairy product
239,<li>Exactly the kind of thing you could eat and eat without getting tired.</li>,Dairy product
240,<li>Find me where the cheesy things are.</li>,Dairy product
241,<li>Gooey cheese is the glue that keeps my life from falling apart.</li>,Dairy product
242,<li>Goes hand-in-hand with toast!</li>,Dairy product
243,<li>Healthy cheese from the best dairy!</li>,Dairy product
244,<li>Here’s to saying “cheese” for all the things I’m grateful for.</li>,Dairy product
245,<li>I was probably a mouse in my previous life.</li>,Dairy product
246,<li>I’m no doctor but I know that adding cheese to anything makes it an anti-depressant.</li>,Dairy product
247,<li>It ain’t easy being cheesy.</li>,Dairy product
248,"<li>Just hand me a sharp knife and a sharp cheese, and I’ll be one happy soul.</li>",Dairy product
249,<li>Keep calm and eat cheese.</li>,Dairy product
250,"<li>Life’s most pleasurable moments, somehow, involve cheese.</li>",Dairy product
251,"<li>Love comes in many forms: shredded, sliced, melted…name it!</li>",Dairy product
252,<li>Mild is how I like it.</li>,Dairy product
253,"<li>My body runs on cheese—mac, grilled, or otherwise!</li>",Dairy product
254,<li>My poor lactose-intolerant self...oh well!</li>,Dairy product
255,<li>No one can ever convince me that the moon ain’t made of cheese!</li>,Dairy product
256,"<li>Nothing is closer to my heart than cheese. As a matter of fact, my aorta is nearly filled with the stuff, the doctor told me that.</li>",Dairy product
257,"<li>Occasionally, I find myself munching on a block of cheddar.</li>",Dairy product
258,"<li>Right now, I’m as single as a slice of cheese.</li>",Dairy product
259,<li>Say what now?</li>,Dairy product
260,"<li>So delicious, I’m drooling!</li>",Dairy product
261,"<li>So many kinds, so many surprises.</li>",Dairy product
262,<li>Stop making resolutions and start eating cheese.</li>,Dairy product
263,<li>The best things in life are cheese.</li>,Dairy product
264,"<li>The cheesier, the better!</li>",Dairy product
265,<li>The power of cheese is extraordinary.</li>,Dairy product
266,"<li>Well, many are the long nights when I've dreamt of cheese—melted, mostly.</li>",Dairy product
267,"<li>When cheese is the one being photographed, what does it say?</li>",Dairy product
268,"<li>Why do some people even do drugs? Like, have they ever tried cheese?</li>",Dairy product
269,"<li>With cheese in hand and a big smile, I will conquer the world.</li>",Dairy product
270,<li>You make me melt.</li>,Dairy product
271,<li>A punch to the palate.</li>,Dairy product
272,<li>Addicted to cheese.</li>,Dairy product
273,<li>Always in style.</li>,Dairy product
274,<li>Aging like fine cheese.</li>,Dairy product
275,<li>Best flavor enhancer!</li>,Dairy product
276,"<li>But first, cheese.</li>",Dairy product
277,<li>Cheese that please.</li>,Dairy product
278,<li>Cheese-licious goodness!</li>,Dairy product
279,<li>Corpse of milk gone good.</li>,Dairy product
280,<li>Deliciously cheesy.</li>,Dairy product
281,<li>Everything is better with cheese.</li>,Dairy product
282,"<li>Extra cheese, please!</li>",Dairy product
283,<li>For the love of cheese!</li>,Dairy product
284,<li>Gooey and oozy.</li>,Dairy product
285,<li>Grab the queso!</li>,Dairy product
286,<li>Greatest thing ever!</li>,Dairy product
287,<li>Immortal taste.</li>,Dairy product
288,<li>Keep it cheesy.</li>,Dairy product
289,<li>Made from real milk.</li>,Dairy product
290,<li>Makes meals legendary.</li>,Dairy product
291,<li>Milk’s leap towards immortality.</li>,Dairy product
292,<li>Molten goodness.</li>,Dairy product
293,<li>My kind of addiction.</li>,Dairy product
294,"<li>No cheese, no squeeze.</li>",Dairy product
295,<li>One of life’s greatest pleasures.</li>,Dairy product
296,<li>Oozing with appeal!</li>,Dairy product
297,<li>Perfectly paired with every day.</li>,Dairy product
298,<li>Putting pleasure first.</li>,Dairy product
299,"<li>Rich, smooth, and distinctive.</li>",Dairy product
300,<li>Say cheese!</li>,Dairy product
301,<li>Sliced and diced!</li>,Dairy product
302,<li>Smiling extra big.</li>,Dairy product
303,<li>Stay cheesy.</li>,Dairy product
304,"<li>Stringy, not mingy.</li>",Dairy product
305,<li>Sounds cheesy to me.</li>,Dairy product
306,"<li>The stronger, the better!</li>",Dairy product
307,<li>The tummy treat!</li>,Dairy product
308,<li>The ultimate comfort food.</li>,Dairy product
309,<li>Uplifts the mood.</li>,Dairy product
310,<li>You belong in my tummy.</li>,Dairy product
311,<li>Age only matters if you are cheese.</li>,Dairy product
312,<li>Anarchy and chaos mean eating the whole cheese including the rind.</li>,Dairy product
313,"<li>Be quick to let go of your old cheese, for you shall soon find your new cheese.</li>",Dairy product
314,<li>Being in an awkward situation is heaps better than being in a cheese-less situation.</li>,Dairy product
315,<li>Cakes are all the better when preceded by cheese.</li>,Dairy product
316,"<li>Cheese is the ultimate comfort food whether it’s in the form of baked dishes, pizza, and pretty much everything else.</li>",Dairy product
317,"<li>Cheese, wine, and friends must be old to be good.</li>",Dairy product
318,<li>Clever cats eat cheese and wait for unsuspecting rats with their bated breath.</li>,Dairy product
319,"<li>Desserts should never go without cheese. Without it, one can only enjoy half the experience.</li>",Dairy product
320,<li>Every kind of cheese reveals a meadow of a different shade of green under a different color of sky.</li>,Dairy product
321,<li>Good cheese needs good companions.</li>,Dairy product
322,"<li>If God didn’t want us to eat cheese, then why would he allow its existence?</li>",Dairy product
323,"<li>If it’s vacuum-sealed and no air is getting in, then don’t think too much of the “best before” date.</li>",Dairy product
324,<li>Life is great; cheese makes it better.</li>,Dairy product
325,<li>Melted cheese is an ingenious creation. It can veil even the most mediocre of flavors.</li>,Dairy product
326,<li>Mozzarella is actually Cinderella’s cheesier half-sister.</li>,Dairy product
327,<li>Movement in a new direction helps find new cheese.</li>,Dairy product
328,<li>Never commit yourself to cheese without carefully examining it first.</li>,Dairy product
329,"<li>No matter how famous, wealthy, or successful you become, you’re never too good for grilled cheese.</li>",Dairy product
330,"<li>No one in this world, apart from yourself, can prevent you from sneaking into the kitchen in the middle of the night to munch on a hunk of cheese.</li>",Dairy product
331,"<li>Photographers have already shot too many photos of everything, except cheese.</li>",Dairy product
332,<li>Swiss cheese is always a neutral choice.</li>,Dairy product
333,"<li>The early bird gets the worm, but the second mouse gets the cheese.</li>",Dairy product
334,"<li>The secret ingredient is, and will always be, cheese.</li>",Dairy product
335,"<li>Whether it is consumed or said, cheese doesn’t fail to bring a smile to the face.</li>",Dairy product
336,"<li>With many turns and holes, life is much like Swiss cheese.</li>",Dairy product
337,<li>Working your way towards the cheese is the goal of the rat race.</li>,Dairy product
338,"<li>World peace can be attained by stirring cheddar, gouda, Monterey Jack, and Maytag into a gooey mess inside a hot golden pot.</li>",Dairy product
339,<li>Worry is today’s mouse eating tomorrow’s cheese.</li>,Dairy product
340,<li>Absence makes the heart grow fondue.</li>,Dairy product
341,<li>Brie mine.</li>,Dairy product
342,<li>Certified cheese-a-holic!</li>,Dairy product
343,<li>Cheese be with you.</li>,Dairy product
344,<li>Cheesus Christ!</li>,Dairy product
345,<li>Cheesy puns crack-er me up!</li>,Dairy product
346,<li>Curd your enthusiasm.</li>,Dairy product
347,<li>Don’t be such a curd!</li>,Dairy product
348,<li>Everything with cheese mac me so happy.</li>,Dairy product
349,<li>Found the fontina of youth.</li>,Dairy product
350,"<li>Grilled cheese is satisfying, nothing odd to see here.</li>",Dairy product
351,<li>Hakuna ricotta!</li>,Dairy product
352,<li>Have a grate day!</li>,Dairy product
353,"<li>Hello, is it brie you’re looking for?</li>",Dairy product
354,<li>Hugs and cheeses.</li>,Dairy product
355,<li>I cheese to be happy.</li>,Dairy product
356,<li>I hope you have a gouda day.</li>,Dairy product
357,<li>I’m so fondue you.</li>,Dairy product
358,"<li>In queso emergency, eat cheese.</li>",Dairy product
359,"<li>Just in queso you didn’t know, this is the best!</li>",Dairy product
360,<li>One of the gouda ones.</li>,Dairy product
361,<li>Puns are not cheesy; they’re gouda.</li>,Dairy product
362,<li>Really grilled to see you!</li>,Dairy product
363,<li>Sweet dreams are made of cheese.</li>,Dairy product
364,<li>Thank you dairy much!</li>,Dairy product
365,<li>That’s what cheese said.</li>,Dairy product
366,"<li>This might sound cheesy, but you’re the gratest!</li>",Dairy product
367,"<li>To brie or not to brie, that is the question!</li>",Dairy product
368,"<li>Whisper words of wisdom, letter brie.</li>",Dairy product
369,<li>Will you brie my partner?</li>,Dairy product
370,<li>You feta believe it!</li>,Dairy product
371,"<li>You may not be a Pokémon, but I cheese you!</li>",Dairy product
372,<li>You’ll be moo’d over.</li>,Dairy product
373,<li>A slice is never enough.</li>,Dairy product
374,"<li>All of my go-to food have cheese in them, somehow.</li>",Dairy product
375,<li>Bite into the cheesier side of life.</li>,Dairy product
376,"<li>Cheddar, gouda, pepper jack…all are gifts from God.</li>",Dairy product
377,<li>Does anyone else dream about cheese at night or is that just me?</li>,Dairy product
378,"<li>Even if I’m lactose intolerant, if you tell me that I can’t have cheese, I would slap you in your face.</li>",Dairy product
379,<li>Fun fact: cheese stimulates the brain the same way hard drugs do.</li>,Dairy product
380,<li>Heavenly taste in every bite.</li>,Dairy product
381,<li>I exercise because I love cheese.</li>,Dairy product
382,"<li>I'm not 100% sure that love exists, but cheese is pretty damn close.</li>",Dairy product
383,"<li>I’ve consumed an excessive amount of cheese, said no one ever.</li>",Dairy product
384,"<li>If I were a mouse, I would surely fall into a mousetrap.</li>",Dairy product
385,"<li>Let’s talk about something exciting like, say, cheese.</li>",Dairy product
386,<li>Loved by both the simple and the sophisticated.</li>,Dairy product
387,<li>Master of the ancient art of divination by cheese.</li>,Dairy product
388,<li>My only wish is to be swallowed by a whirlpool of silky cheese.</li>,Dairy product
389,<li>Never in my wildest dreams would I want to live in a world without cheese.</li>,Dairy product
390,<li>Nothing is more capable of melting my stone-cold heart than melted cheese.</li>,Dairy product
391,"<li>Oftentimes, I cook cheese. Sometimes, I even add food to it.</li>",Dairy product
392,<li>Pampering my taste buds.</li>,Dairy product
393,"<li>Puzzlingly, poets have been rather quiet on the subject of cheese.</li>",Dairy product
394,"<li>Shout out to people who ""love cheese"" for getting past its taste, smell, and texture and appreciating its personality and sense of humor.</li>",Dairy product
395,"<li>So, uh, do you like cheese?</li>",Dairy product
396,<li>Stop trying to please everyone; you’re not cheese!</li>,Dairy product
397,<li>Stopping the world and melting with you.</li>,Dairy product
398,<li>Taste it to believe it.</li>,Dairy product
399,<li>The right jump-start to an awesome day.</li>,Dairy product
400,"<li>This is what ""incredible"" tastes like.</li>",Dairy product
401,<li>The single most useful ingredient on the planet.</li>,Dairy product
402,<li>Turophile: a connoisseur or lover of cheese.</li>,Dairy product
403,"<li>Well, if I recall correctly, cheese is one of the world’s most stolen products.</li>",Dairy product
404,"<li>When my body and mind begin to yield to despair and negativity, I make myself the occasional cheese dip.</li>",Dairy product
405,<li>Whoever came up first with cheese is a freaking genius!</li>,Dairy product
406,<li>You make my heart melt.</li>,Dairy product
407,A few more calories won’t hurt.,Dessert
408,"A fit and fab body sounds nice, but not as much as dessert!",Dessert
409,Always save room for dessert.,Dessert
410,Are you feeling downie? Then eat a brownie!,Dessert
411,Beginning the day with something sweet.,Dessert
412,"Boo-hoo, I ain’t sharing my desserts!",Dessert
413,Cake is my happy place.,Dessert
414,Consider my mood lifted.,Dessert
415,Dessert is always the solution to any problem.,Dessert
416,Dessert is calling me; I must go.,Dessert
417,Don’t go breaking promises; break pie crusts instead.,Dessert
418,Doughnuts make the world go round.,Dessert
419,Everyone has their own poison. Mine happens to be sugar.,Dessert
420,"Fitness, you say? More like fit this cake in my mouth!",Dessert
421,Follow me to the dessert table.,Dessert
422,Hot fudge runs through my veins.,Dessert
423,Hungry? Why wait? Grab a sweet treat!,Dessert
424,"I liked it, so I licked it!",Dessert
425,"If the saying “we are what we eat” is true, then I must be impressively sweet.",Dessert
426,Is a day even over if you haven't had dessert?,Dessert
427,Keep calm and eat dessert.,Dessert
428,Leaving no trace on the plate.,Dessert
429,Licking the bowl and leaving no trace!,Dessert
430,Life without sweet treats is no life at all!,Dessert
431,Living the sweet life.,Dessert
432,My life motto: “Always leave space for dessert!”,Dessert
433,My sweet tooth is tingling.,Dessert
434,No need for an occasion to eat cake.,Dessert
435,No one settles for just one scoop!,Dessert
436,"So many kinds of desserts, so little time.",Dessert
437,"Sorry, I’m busy eating cake.",Dessert
438,Stressed read backward is desserts.,Dessert
439,Sugar is my sidekick.,Dessert
440,Sweet dreams are made of this.,Dessert
441,Taking my pleasure seriously.,Dessert
442,The only reason I carry a knife around is there might be cake where I’m going.,Dessert
443,The taste of sweetness calms my soul.,Dessert
444,The sugar made me do it.,Dessert
445,"Try it once, forget the rest.",Dessert
446,What’s my superpower? I can make sweets disappear in a flash!,Dessert
447,What a sweet world we live in.,Dessert
448,"Will do anything just for dessert. Yup, even trample children.",Dessert
449,You know you want it.,Dessert
450,A bite of deliciousness.,Dessert
451,A magical treat.,Dessert
452,Baked happiness.,Dessert
453,"But first, dessert.",Dessert
454,Colorful eatables.,Dessert
455,Creations for celebrations.,Dessert
456,Delight in every bite.,Dessert
457,Enjoy the little things.,Dessert
458,Filled with magic.,Dessert
459,Follow your hunger.,Dessert
460,From oven to table.,Dessert
461,Happiness starts here.,Dessert
462,It’s dessert o’clock!,Dessert
463,Let’s get that yummy,Dessert
464,"Live, love, cakes.",Dessert
465,Love at first bite.,Dessert
466,Made for sweet dreams.,Dessert
467,Making sweet things happen.,Dessert
468,My happily ever after.,Dessert
469,Need a sweet?,Dessert
470,Obsessed with desserts.,Dessert
471,Pro at sugar-coating everything!,Dessert
472,"Seek sweety, find happy.",Dessert
473,Sinful indulgence.,Dessert
474,"So sinful, so luscious.",Dessert
475,Sprinkled with love.,Dessert
476,Sugar rush!,Dessert
477,Sweet as a kiss.,Dessert
478,Sweet ecstasy.,Dessert
479,"Take a bite, then another.",Dessert
480,Treat yourself today.,Dessert
481,You had me at dessert.,Dessert
482,A spoonful of sugar helps the medicine go down.,Dessert
483,A truly sumptuous dessert makes one dance in glee.,Dessert
484,All people with healthy physical appetites have a sweet tooth somewhere in their heads.,Dessert
485,Anything is good if it’s covered with sugar.,Dessert
486,Continuous small treats are the secret to happiness.,Dessert
487,Desserts are simple pleasures that can sustain people even during difficult times.,Dessert
488,Desserts are all the sweeter when shared with friends.,Dessert
489,Eating sugar every now and then is the key to a happy life.,Dessert
490,"For me, it is way easier to make life-changing decisions than to decide what to get for dessert.",Dessert
491,Happiness is knowing that there’s cake on my plate.,Dessert
492,"Hardship is in everything, except when eating dessert.",Dessert
493,"In the presence of desserts, stress and pressure don’t exist.",Dessert
494,Never skip dessert for tomorrow is uncertain.,Dessert
495,"Life is full of uncertainties, so eat dessert first.",Dessert
496,Making life sweet is the purpose of our existence.,Dessert
497,My emotional roller coaster is reserved for dessert.,Dessert
498,Never trust anyone who skips dessert.,Dessert
499,Pastries are edible love.,Dessert
500,"Relax, this isn’t a life and death situation. It’s just dessert!",Dessert
501,Some people handle sweets better.,Dessert
502,Sweets make everything better.,Dessert
503,The best things in life are sweet.,Dessert
504,The secret ingredient is—and will always be—love.,Dessert
505,What’s better than a friend? It’s a friend who’s bringing dessert!,Dessert
506,"Without dessert, there would be anarchy and disorder.",Dessert
507,"You are what you eat, so eat something sweet.",Dessert
508,"Ah, my butter half!",Dessert
509,Bake the world a better place.,Dessert
510,Cake it easy.,Dessert
511,Certified dessert-arian!,Dessert
512,Do I love ice cream? You sherbet I do!,Dessert
513,Don’t be afraid to take whisks.,Dessert
514,Don’t dessert me.,Dessert
515,Doughnut worry anymore.,Dessert
516,Here to bake your day.,Dessert
517,Holy cannoli!,Dessert
518,How a-dough-able!,Dessert
519,I love this berry much!,Dessert
520,I’d go glazy without you.,Dessert
521,I’m a cake-aholic!,Dessert
522,Icing for joy when I see cake.,Dessert
523,Jello from the other side.,Dessert
524,"Laugh s’more, worry less.",Dessert
525,Life is what you bake it.,Dessert
526,Muffin compares to you.,Dessert
527,Pies be with you!,Dessert
528,"Slice, slice, baby!",Dessert
529,Thanks for pudding up with me.,Dessert
530,This is baking me crazy!,Dessert
531,This is flan-tastic!,Dessert
532,We weir-doughs gotta stick together!,Dessert
533,What the fudge?!,Dessert
534,Whisk me away.,Dessert
535,Will never dessert you.,Dessert
536,You dessert the best!,Dessert
537,Absolutely eat dessert first!,Dessert
538,Adding sweetness to my life.,Dessert
539,Always celebrate with desserts.,Dessert
540,Baked with lots of love and cream.,Dessert
541,Dallops of sweet love in an otherwise cruel world.,Dessert
542,Dessert is the most vital part of any meal.,Dessert
543,Dessert or disaster? You choose!,Dessert
544,Did someone say cookies?,Dessert
545,Every bite makes you fall in love.,Dessert
546,Fairy tales got nothing on desserts.,Dessert
547,"First comes love, then comes dessert.",Dessert
548,"Give me all the chocolates, donuts, and ice cream any day of the week!",Dessert
549,Give my compliments to the pâtissier.,Dessert
550,Have you ever tasted heaven?,Dessert
551,Help yourself to something sweet.,Dessert
552,"How do I like my eggs? In a cake, duh!",Dessert
553,I believe in cake for breakfast.,Dessert
554,I take dessert seriously.,Dessert
555,In a cheerful mood.,Dessert
556,"If there’s no dessert at the event, I’m not going.",Dessert
557,It’s so hard to stay sad when you’re eating dessert.,Dessert
558,Just another magic dish.,Dessert
559,"Life happens, dessert helps.",Dessert
560,My secret indulgent food is dessert.,Dessert
561,Never say “no” to sweets!,Dessert
562,No words needed.,Dessert
563,Pancakes with a side of pancakes.,Dessert
564,Priorities: Dessert!,Dessert
565,"So rich, so tasty, so cakey!",Dessert
566,Spread happiness as thick as you would chocolate spread.,Dessert
567,Stay cool and eat ice cream.,Dessert
568,"Sugar, how you get so fly?",Dessert
569,"The more you weigh, the harder for you to kidnap. So, eat more sugar.",Dessert
570,There’s always more room for dessert in my tummy!,Dessert
571,Tiramisu is the key to world peace.,Dessert
572,We all dream of ice cream.,Dessert
573,"You can't buy me love, but you can always buy me dessert!",Dessert
574,These are a fun way to eat breakfast and they’re so easy to make. Whip up some in no time at all with these delicious Instagram captions for eggs!,Egg
575,"• Fluffy whites, golden yolks… all the good things that come from our hens. We celebrate all the cute fluffiness of eggs + dare you to not get on board with this #EggsAreEverywhere movement.",Egg
576,• Cute little egg cutters—eggceptional! 🍳,Egg
577,• Eggcellent puns for your Easter brunch.👍🏻,Egg
578,• Don’t eat the whole basket. #eggsforbreakfast,Egg
579,• So hot right now: our 5-minutes-or-less breakfast tacos (Cheddar cheese and your choice of egg 👌) #breakfastofchampions,Egg
580,"• Nothing is better than colorful, delicious Easter eggs. 🐣",Egg
581,"• Looking to start your #brunch plans? Here’s a delicious protein-packed start: Eggs. They’re packed with protein and easy to prepare, so you can make it any way you like it. Try this recipe for kale, sausage, eggs and toast ♥️",Egg
582,"• Light, fluffy and quick to cook, eggs are a perfect addition to any meal. You can boil, fry or poach them— whatever you prefer!",Egg
